title,artist,image_url,genre
Kush,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
Me Gusta,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
Funky Drugs,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
Comme un fou,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
100 rêves,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
J'hésite,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
Atlas,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
Wesh la rue,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
Allô le monde,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
Le ciel est la limite,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
Veni qui,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
"Main Title ""Somewhere in My Memory"" (From ""Home Alone"") - Voice",John Williams,https://i.scdn.co/image/bde64350466df4aa41efb9b8b766deef6c46fd08,soundtrack
Bulma,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
C'est mon sang,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Qui je suis,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
24 carats,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Tard le soir,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Avant que je me couche,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Rédemption,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Cataleya,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
J'ai trop zoné,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Like This,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
